age,workclass,education,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,label
35,Federal-gov,9th,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,United-States,False
43,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,United-States,False
59,Private,HS-grad,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,False
56,Local-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,True
19,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,False
54,,Some-college,Married-civ-spouse,,Husband,Asian-Pac-Islander,Male,0,0,60,South,True
39,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,80,United-States,False
49,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,False
23,Local-gov,Assoc-acdm,Never-married,Protective-serv,Not-in-family,White,Male,0,0,52,United-States,False
20,Private,Some-college,Never-married,Sales,Own-child,Black,Male,0,0,44,United-States,False
45,Private,Bachelors,Divorced,Exec-managerial,Own-child,White,Male,0,1408,40,United-States,False
30,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,40,United-States,False
22,State-gov,Some-college,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,15,United-States,False
48,Private,11th,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,Puerto-Rico,False
21,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,False
19,Private,HS-grad,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,25,United-States,False
31,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,38,,True
48,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,False
31,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,United-States,False
53,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,False
24,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,False
49,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,False
25,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,United-States,False
57,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,True
53,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,False
44,Private,Masters,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,False
41,State-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,False
29,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States,False
25,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,40,United-States,False
18,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,0,0,30,,False
47,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,60,Honduras,True
50,Federal-gov,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,True
47,Self-emp-inc,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,False
43,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,True
46,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,False
35,Private,Assoc-voc,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Puerto-Rico,False
41,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,United-States,False
30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013,0,40,United-States,False
30,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,2407,0,40,United-States,False
32,,7th-8th,Married-spouse-absent,,Not-in-family,White,Male,0,0,40,,False
48,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,False
42,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,True
29,Private,Some-college,Divorced,Tech-support,Not-in-family,White,Male,0,0,58,United-States,False
36,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,False
28,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,False
53,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,True
49,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,True
25,,Some-college,Never-married,,Own-child,White,Male,0,0,40,United-States,False
19,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,0,0,32,United-States,False
31,Private,Bachelors,Separated,Sales,Own-child,Black,Female,0,0,40,United-States,False
29,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States,True
23,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,False
79,Private,Some-college,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,20,United-States,False
27,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,0,0,40,Mexico,False
40,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,False
67,,10th,Married-civ-spouse,,Husband,White,Male,0,0,2,United-States,False
18,Private,11th,Never-married,Other-service,Own-child,White,Female,0,0,22,United-States,False
31,Local-gov,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,False
18,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,0,0,30,United-States,False
52,Private,Bachelors,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Cuba,False
46,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,False
59,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,False
44,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Female,14344,0,40,United-States,True
53,Private,HS-grad,Divorced,Sales,Own-child,White,Female,0,0,35,United-States,False
49,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,True
33,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,False
30,Private,9th,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,False
43,Federal-gov,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,True
57,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,False
37,Private,Some-college,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,False
28,Private,Some-college,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,25,United-States,False
30,Private,HS-grad,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,1573,35,,False
34,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,True
29,Local-gov,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,False
48,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,60,United-States,True
37,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,True
48,Private,Assoc-acdm,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,England,False
32,Federal-gov,HS-grad,Never-married,Other-service,Own-child,Black,Male,0,0,40,United-States,False
76,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,True
44,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States,True
47,Self-emp-not-inc,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,False
20,Private,Some-college,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,False
29,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,False
32,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States,True
17,,10th,Never-married,,Own-child,White,Female,34095,0,32,United-States,False
30,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,False
31,Local-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,False
42,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,False
24,Private,Bachelors,Never-married,Sales,Other-relative,White,Male,0,0,40,United-States,False
38,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,True
56,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,1887,50,Canada,True
28,Private,Some-college,Married-civ-spouse,Sales,Wife,White,Female,4064,0,25,United-States,False
36,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,False
53,Private,9th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,False
56,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,False
49,Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,True
55,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,United-States,False
22,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0,0,41,United-States,False
21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,False
40,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,False
30,Private,Bachelors,Never-married,Exec-managerial,Own-child,Black,Male,0,0,40,Germany,False
29,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,True
19,Private,Some-college,Never-married,Other-service,Own-child,Black,Male,0,0,35,United-States,False
47,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,True
20,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,0,1719,28,United-States,False
31,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,True
35,,HS-grad,Married-civ-spouse,,Husband,White,Male,0,0,40,United-States,False
39,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,False
28,Private,Assoc-acdm,Never-married,Sales,Not-in-family,White,Female,0,0,60,United-States,False
24,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,0,1762,40,United-States,False
38,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,35,United-States,False
37,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,False
46,Private,Assoc-acdm,Divorced,Tech-support,Not-in-family,Black,Female,0,0,36,United-States,False
38,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Iran,True
43,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,False
27,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,False
20,Private,Some-college,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,False
49,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,True
61,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,False
27,Private,Some-college,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,False
19,Private,Some-college,Never-married,Other-service,Own-child,White,Male,0,0,30,Mexico,False
45,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,40,United-States,True
70,Private,Some-college,Never-married,Tech-support,Other-relative,White,Male,0,0,40,United-States,False
31,Private,HS-grad,Never-married,Transport-moving,Unmarried,Black,Female,0,0,30,United-States,False
22,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,0,0,24,United-States,False
36,Private,HS-grad,Widowed,Other-service,Unmarried,White,Female,0,0,24,United-States,False
64,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,False
43,,Some-college,Divorced,,Not-in-family,White,Female,0,0,40,United-States,False
47,Local-gov,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,Mexico,False
34,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,False
33,Private,Bachelors,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40,Philippines,False
21,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0,0,35,United-States,False
52,,HS-grad,Divorced,,Not-in-family,White,Male,0,0,45,United-States,True
48,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,United-States,False
23,Private,Bachelors,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,False
71,Self-emp-not-inc,Some-college,Separated,Sales,Unmarried,Black,Male,0,1816,2,United-States,False
29,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,False
42,Private,Bachelors,Separated,Other-service,Other-relative,Black,Male,0,0,50,United-States,False
68,,1st-4th,Divorced,,Not-in-family,White,Female,0,0,20,United-States,False
25,Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,False
44,Self-emp-inc,Masters,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,False
28,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,England,False
45,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,True
36,Private,Some-college,Divorced,Other-service,Unmarried,White,Female,0,0,40,Mexico,False
39,Federal-gov,Assoc-acdm,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,42,United-States,False
46,State-gov,Masters,Widowed,Protective-serv,Unmarried,White,Male,0,0,40,United-States,False
18,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,16,United-States,False
66,Local-gov,Assoc-voc,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,False
27,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,0,1980,40,United-States,False
28,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,False
51,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United-States,True
27,Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,False
28,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,True
27,Private,HS-grad,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,25,United-States,False
21,Private,HS-grad,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,False
34,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,False
18,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,False
33,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,65,United-States,False
44,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,38,United-States,True
43,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,False
30,Private,Some-college,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,45,United-States,False
40,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,True
37,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,42,United-States,True
34,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,False
41,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,False
53,,Bachelors,Divorced,,Not-in-family,White,Female,0,0,50,United-States,False
31,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,False
58,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,True
38,Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,28,United-States,False
24,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,False
41,Local-gov,Bachelors,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,False
47,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,False
41,Federal-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,24,United-States,False
23,Private,5th-6th,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0,0,40,Mexico,False
36,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,False
40,Federal-gov,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,14084,0,55,United-States,True
35,Private,Masters,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,7298,0,40,United-States,True
24,Self-emp-not-inc,HS-grad,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,False
26,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States,False
19,,HS-grad,Never-married,,Own-child,White,Male,0,0,40,Italy,False
51,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,True
42,Local-gov,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,0,1340,40,United-States,False
37,State-gov,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,False
18,Private,11th,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,False
36,Private,Bachelors,Married-civ-spouse,Other-service,Husband,Black,Male,7298,0,36,United-States,True
35,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,False
58,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,15024,0,35,United-States,True
17,Private,11th,Never-married,Sales,Own-child,White,Female,0,0,12,United-States,False
44,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,False
37,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,True
35,Private,Some-college,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States,False
60,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,False
54,Self-emp-inc,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,True
37,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,60,United-States,True
50,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,False
38,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,Poland,False
45,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,False
25,Private,10th,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,False
31,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,False
64,,1st-4th,Divorced,,Not-in-family,White,Male,0,0,40,United-States,False
90,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Male,0,2206,40,United-States,False
54,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,20,United-States,False
53,Local-gov,Preschool,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,35,United-States,False
18,Private,HS-grad,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,False
60,,10th,Divorced,,Not-in-family,Amer-Indian-Eskimo,Female,0,0,10,United-States,False
66,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,1409,0,50,United-States,False
75,Private,Assoc-voc,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,20,Columbia,False
65,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,False
35,Private,11th,Separated,Transport-moving,Not-in-family,Black,Male,3674,0,40,United-States,False
41,Private,HS-grad,Divorced,Sales,Unmarried,Black,Female,0,0,38,United-States,False
25,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,42,United-States,False
33,Private,Some-college,Divorced,Craft-repair,Other-relative,Other,Female,0,0,40,United-States,False
28,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,55,United-States,True
59,State-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,False
40,State-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States,False
41,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Iran,True
38,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States,True
23,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,False
40,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,True
41,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,20,United-States,False
24,State-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,United-States,False
20,,Some-college,Never-married,,Own-child,White,Male,0,0,20,United-States,False
38,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,0,1741,40,United-States,False
56,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,35,,False
58,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,True
32,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,0,0,34,United-States,False
40,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,60,United-States,True
45,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,,False
41,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,True
42,Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,False
59,Local-gov,10th,Widowed,Other-service,Unmarried,Black,Female,0,0,30,United-States,False
19,Local-gov,Some-college,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,False
58,Private,Some-college,Never-married,Transport-moving,Not-in-family,White,Male,0,0,20,United-States,False
42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,0,40,Cambodia,True
20,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,False
32,Private,HS-grad,Separated,Other-service,Not-in-family,White,Female,0,0,30,United-States,False
45,Private,Assoc-voc,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,False
50,Private,7th-8th,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,False
36,Private,Bachelors,Divorced,Prof-specialty,Own-child,White,Female,0,0,40,United-States,False
45,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,False
17,Private,11th,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,False
59,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,4064,0,40,United-States,False
26,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,False
37,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,75,Thailand,True
19,,Some-college,Never-married,,Own-child,White,Male,0,0,24,Canada,False
64,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,True
33,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,False
33,Private,HS-grad,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,40,United-States,True
61,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,True
17,Private,9th,Never-married,Other-service,Own-child,White,Male,1055,0,24,United-States,False
50,Self-emp-not-inc,Masters,Married-civ-spouse,Farming-fishing,Husband,White,Male,2407,0,98,United-States,False
27,Local-gov,Masters,Never-married,Prof-specialty,Own-child,White,Male,0,0,35,United-States,False
30,Private,HS-grad,Divorced,Prof-specialty,Own-child,White,Female,0,0,40,United-States,False
43,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,False
44,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,40,United-States,True
35,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,False
25,Private,Some-college,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,False
24,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,7298,0,48,United-States,True
22,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,15,Germany,False
42,Local-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,5178,0,40,United-States,True
34,Private,Assoc-acdm,Divorced,Sales,Unmarried,Black,Female,0,0,45,United-States,False
60,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,42,United-States,False
